date,time,length
2020-07-10T07:06:58.801Z,2444781,4968.7
2020-06-11T07:52:22.143Z,1688898,3789.45
2020-11-11T09:40:46.293Z,2724679,6619.53
2020-05-12T07:29:23.693Z,2377322,5303.76
2020-06-13T07:52:57.121Z,2238119,5146.81
2019-05-13T07:14:56.899Z,2683468,11582.61
2019-09-13T06:26:33.894Z,2824879,11746.65
2019-09-13T15:45:25.808Z,4217575,15474.72
2020-09-13T08:12:02.233Z,1821090,4290.27
2020-05-14T07:29:33.948Z,2390338,5172.02
2020-06-15T06:52:09.689Z,2857705,6199.44
2019-05-15T06:36:15.660Z,2600133,11599.23
2020-11-15T09:32:19.508Z,2462209,4811.13
2020-09-15T07:25:31.855Z,3717800,8749.1
2020-07-16T07:26:18.705Z,2151474,4728.29
2020-05-16T08:03:18.354Z,1552495,3258.59
2020-10-16T08:25:41.105Z,2005407,4595.89
2020-06-17T07:12:11.411Z,2932943,6596.24
2020-11-17T08:34:27.733Z,2650285,6143.03
2020-08-18T07:30:11.574Z,1824849,4111.76
2020-07-18T07:22:10.003Z,2743148,5968.31
2020-05-18T07:24:35.057Z,2437107,5390.6
2020-04-19T07:58:29.348Z,1661741,3522.69
2019-12-19T07:03:33.031Z,3969597,17204.68
2020-06-19T07:09:35.154Z,3142548,5099.6
2020-10-19T07:57:14.451Z,2453022,5794.1
2020-07-01T07:08:26.031Z,2674275,6200.18
2020-06-01T07:09:49.456Z,2634080,5773.59
2020-05-01T07:34:51.345Z,1927526,4189.45
2020-05-20T07:15:49.106Z,2333822,5238.82
2020-08-21T07:29:36.665Z,2467090,5624.08
2020-04-21T07:23:30.862Z,1805889,3783.84
2020-07-21T07:20:42.924Z,3798114,7343.77
2020-05-22T08:21:33.596Z,2349265,5355.45
2019-03-22T07:40:41.764Z,3069034,11772.78
2020-11-22T09:18:49.081Z,3685714,8647.04
2020-10-22T07:44:05.538Z,2739981,6322.59
2020-04-23T07:26:16.398Z,1966081,4071.26
2020-06-23T07:05:51.603Z,2459214,5421.93
2019-05-23T06:22:33.425Z,2139535,9838.35
2020-07-24T07:29:56.100Z,3728051,3981.93
2020-05-24T08:09:10.951Z,2570966,5849.14
2020-08-25T07:19:09.959Z,2983225,7472.95
2020-04-25T08:05:15.095Z,1899993,3963.6
2020-06-26T07:20:58.962Z,3331551,7559.08
2020-05-26T07:23:58.991Z,1631783,3658.55
2020-11-26T09:41:29.697Z,1490016,424.2
2020-10-26T09:03:54.150Z,1947963,4388.54
2020-04-27T07:00:40.668Z,1890821,3975.75
2020-05-28T07:04:53.118Z,2422220,5258.92
2020-10-28T08:23:59.524Z,1960171,4802.58
2020-08-29T08:57:15.165Z,2559192,6025.78
2020-04-29T07:03:53.142Z,1852959,4066.85
2020-09-02T07:31:37.224Z,2646246,6807.23
2020-09-30T07:30:38.274Z,1536721,3702.79
2020-10-31T09:49:31.528Z,2426050,5783.67
2020-06-03T07:20:45.518Z,1868975,2121.61
2020-05-03T07:20:05.124Z,2064336,4566.09
2020-11-03T08:26:57.063Z,2431992,5672.82
2020-10-03T07:52:15.554Z,2263171,5453.13
2020-07-04T08:11:43.336Z,2495260,6310.86
2020-06-05T07:25:33.991Z,2846349,6436.63
2020-05-05T07:07:18.188Z,2193110,4911.82
2020-08-06T12:47:26.373Z,8398658,5676.02
2020-11-06T08:54:24.086Z,2426507,5635.22
2020-07-07T07:14:39.780Z,3814429,4687.89
2020-06-07T09:07:06.523Z,2704241,5703.83
2020-05-07T07:41:12.813Z,2432191,5376.28
2020-10-07T07:22:19.491Z,3155648,7307.27
2020-09-07T07:34:13.255Z,2871331,6613.6
2020-08-09T11:04:18.336Z,10491581,5381.94
2020-06-09T07:10:35.818Z,2420210,4504.02
2020-05-09T07:06:54.002Z,2223185,5032.08
2020-09-09T07:42:56.077Z,2634190,4212.45
